Sample_ID	nmf_subtypes	sil_width
CGND.HRA.00092	1	0.738
CGND.HRA.00064	1	0.654
CGND.HRA.01505	1	0.0892
A115_91	1	0.436
CGND.HRA.01776	1	0.62
CGND.HRA.01469	1	0.232
A204_03	1	0.423
CGND.HRA.00058	1	0.576
CGND.HRA.01452	1	-0.161
A001_91	1	0.339
A397_12	1	0.632
CGND.HRA.00608	1	0.528
CGND.HRA.00600	1	0.462
CGND.HRA.01587	1	0.495
A285_11	1	0.453
A129_92	1	0.509
CGND.HRA.00747	1	0.624
A147_11	1	0.184
CGND.HRA.00060	1	0.644
CGND.HRA.01686	1	0.498
CGND.HRA.00616	1	0.617
CGND.HRA.01384	1	0.648
A372_08	1	0.55
CGND.HRA.00057	1	0.628
A251_09	1	0.606
A001_16	1	0.407
CGND.HRA.01453	1	0.256
A069_02	1	0.367
CGND.HRA.01679	1	0.511
CGND.HRA.01894	1	0.629
CGND.HRA.00084.2	1	0.696
CGND.HRA.01407	1	0.662
CGND.HRA.01833	1	0.592
A257_17	1	0.678
A141_99	1	0.151
A446_17	1	0.638
CGND.HRA.00328	1	-0.473
A109_00	1	-0.033
A148_13	1	0.573
CGND.HRA.01506	1	0.0378
A257_11	1	0.652
A348_08	1	0.701
A283_93	1	0.524
CGND.HRA.00320	1	0.373
CGND.HRA.00637	1	0.64
CGND.HRA.01512	1	0.163
CGND.HRA.00638	1	0.65
A218_00	1	0.199
CGND.HRA.00607	1	0.528
CGND.HRA.00574	1	0.199
CGND.HRA.00065	1	0.654
CGND.HRA.00343	1	0.254
A331_09	1	0.701
CGND.HRA.00249	1	0.698
A018_95	1	0.481
A075_91	1	0.353
CGND.HRA.00066	1	0.636
A447_13	1	0.631
A009_96	1	0.599
CGND.HRA.01695	1	0.484
CGND.HRA.00678	1	0.607
CGND.HRA.00677	1	0.592
CGND.HRA.00681	1	0.641
CGND.HRA.00627	1	0.648
CGND.HRA.01546	1	0.375
CGND.HRA.00680	1	0.63
CGND.HRA.01983	1	0.659
CGND.HRA.00462	2	0.355
CGND.HRA.01640	2	0.417
CGND.HRA.00461	2	0.379
A229_06	2	0.55
CGND.HRA.00147	2	0.711
A216_99	2	-0.00446
CGND.HRA.00586	2	0.54
CGND.HRA.00563	2	0.12
A009_00	2	0.595
CGND.HRA.01488	2	0.543
A274_17	2	0.688
CGND.HRA.00254	2	0.734
CGND.HRA.00599	2	0.567
CGND.HRA.00587	2	0.547
CGND.HRA.01487	2	0.549
CGND.HRA.01403	2	0.663
CGND.HRA.01424	2	0.658
CGND.HRA.01859	2	0.641
A116_04	2	0.326
CGND.HRA.01766	2	0.631
A208_06	2	0.423
CGND.HRA.01804	2	0.606
CGND.HRA.00604	2	0.505
CGND.HRA.01468	2	0.138
CGND.HRA.00287	2	0.699
CGND.HRA.01919	2	0.65
A218_03	2	0.28
CGND.HRA.01819	2	0.574
CGND.HRA.01736	2	0.613
A098_09	2	0.338
CGND.HRA.01828	2	0.595
CGND.HRA.01715	2	0.559
CGND.HRA.01746	2	0.635
CGND.HRA.01791	2	0.554
CGND.HRA.00366	2	0.12
CGND.HRA.00388	2	0.0137
CGND.HRA.01581	2	0.516
A203_12	2	0.214
A200_02	2	0.472
CGND.HRA.00257.2	2	0.73
CGND.HRA.01646	2	0.408
CGND.HRA.00615	2	0.608
CGND.HRA.00387	2	-0.0263
A398_12	2	0.648
CGND.HRA.01728	2	0.564
CGND.HRA.00223	2	0.737
CGND.HRA.00561	2	0.00538
A182_01	2	0.514
CGND.HRA.00424	2	0.206
CGND.HRA.01658	2	0.446
CGND.HRA.00624	2	0.641
CGND.HRA.01796	2	0.583
A282_00	2	0.663
CGND.HRA.01874	2	0.615
A244_05	2	0.632
A117_02	2	0.591
A093_04	2	0.0775
CGND.HRA.01664	2	0.524
CGND.HRA.01710	2	0.599
CGND.HRA.01511	2	0.11
A217_93	2	0.231
CGND.HRA.00359	2	-0.0896
CGND.HRA.00086	2	0.72
CGND.HRA.00225	2	0.74
CGND.HRA.01574	2	0.448
A079_07	2	0.171
CGND.HRA.01517	2	0.0494
CGND.HRA.01608	2	0.523
CGND.HRA.01609	2	0.494
CGND.HRA.00217	2	0.736
CGND.HRA.01690	2	0.464
A090_95	2	-0.356
CGND.HRA.01809	2	0.598
CGND.HRA.01864	2	0.639
CGND.HRA.00089.2	2	0.742
CGND.HRA.01461	2	-0.00637
A083_01	2	0.215
CGND.HRA.00381	2	-0.367
CGND.HRA.02157	2	0.653
CGND.HRA.00382	2	-0.355
CGND.HRA.01914	2	0.656
CGND.HRA.00663	2	0.627
CGND.HRA.01889	2	0.634
A264_05	2	0.637
CGND.HRA.01575	2	0.525
CGND.HRA.00733	2	0.609
