Sample_ID	nmf_subtypes	sil_width	prob
A001_16	2	0.876	0.366
A001_91	3	0.114	0.35
A009_00	1	0.271	0.428
A009_96	1	0.814	0.646
A017_05	3	0.645	0.385
A018_95	1	0.86	0.392
A028_13	3	0.766	0.467
A034_06	3	0.878	0.441
A041_03	3	0.885	0.445
A041_07	3	0.685	0.369
A044_10	3	0.823	0.447
A046_00	3	0.882	0.417
A047_00	3	0.701	0.432
A048_05	3	0.428	0.431
A063_08	3	0.801	0.455
A069_02	1	0.369	0.385
A072_02	3	0.249	0.37
A073_12	2	0.531	0.441
A075_91	1	0.812	0.551
A079_07	2	0.883	0.478
A081_91	3	0.824	0.376
A083_01	2	0.882	0.487
A085_00	3	0.879	0.407
A086_01	3	0.355	0.388
A089_08	3	0.897	0.399
A090_95	2	0.819	0.414
A093_04	2	0.826	0.427
A093_07	3	0.898	0.427
A094_05	3	-0.0561	0.38
A097_92	3	0.679	0.412
A098_09	2	0.195	0.373
A104_11	3	0.801	0.462
A104_92	3	0.558	0.401
A108_93	3	0.758	0.386
A109_00	1	0.521	0.376
A110_06	3	0.891	0.461
A115_91	1	0.816	0.411
A116_04	2	0.497	0.457
A117_02	2	0.796	0.397
A119_07	3	0.778	0.44
A119_93	3	0.732	0.436
A123_05	2	0.638	0.444
A124_05	3	0.0665	0.361
A129_92	1	0.508	0.395
A130_13	3	0.815	0.421
A134_02	3	0.846	0.413
A138_05	3	0.833	0.427
A140_94	2	0.189	0.383
A141_06	3	0.894	0.419
A141_99	1	0.456	0.428
A147_11	1	0.63	0.479
A148_13	1	0.847	0.462
A150_93	3	0.862	0.437
A151_10	3	0.731	0.391
A154_04	3	0.853	0.444
A154_06	3	0.763	0.447
A157_02	3	0.734	0.441
A157_04	1	0.103	0.4
A160_96	3	0.828	0.409
A162_09	3	0.864	0.387
A163_90	3	0.488	0.412
A171_90	3	0.798	0.431
A174_08	3	0.857	0.469
A177_09	3	0.882	0.37
A182_01	2	0.706	0.435
A188_06	3	0.891	0.435
A194_06	2	0.325	0.391
A200_02	2	0.693	0.566
A202_11	3	0.536	0.415
A203_12	2	0.549	0.527
A204_03	1	0.772	0.459
A205_09	3	0.313	0.422
A208_06	2	0.786	0.41
A216_99	2	0.353	0.364
A217_93	2	0.808	0.614
A218_00	1	0.458	0.475
A218_03	2	0.882	0.381
A218_09	3	0.6	0.364
A221_16	3	0.669	0.399
A226_03	3	0.679	0.444
A229_06	2	0.43	0.407
A230_93	3	0.788	0.432
A234_11	3	0.235	0.436
A237_12	3	0.885	0.456
A244_05	2	0.789	0.423
A249_09	2	0.44	0.392
A251_09	2	0.636	0.364
A257_11	1	0.782	0.352
A257_17	1	0.7	0.491
A260_16	2	0.593	0.403
A264_05	2	0.863	0.464
A274_17	1	0.148	0.406
A282_00	2	0.796	0.381
A282_92	3	0.897	0.359
A282_98	3	0.891	0.43
A283_93	1	0.798	0.362
A285_11	1	0.598	0.403
A292_93	3	0.597	0.391
A293_11	3	0.869	0.404
A298_97	3	0.659	0.41
A305_94	3	0.893	0.396
A319_95	3	0.305	0.372
A331_09	1	0.855	0.438
A348_08	1	0.851	0.357
A372_08	1	0.284	0.399
A375_12	3	0.882	0.423
A397_12	1	0.533	0.372
A398_12	2	0.606	0.515
A401_08	3	0.845	0.383
A401_13	2	0.281	0.388
A446_17	1	0.619	0.597
A447_13	1	0.816	0.48
CGND.HRA.00055	1	0.221	0.383
CGND.HRA.00056	3	0.59	0.451
CGND.HRA.00057	1	0.261	0.408
CGND.HRA.00058	1	0.815	0.465
CGND.HRA.00059	3	0.485	0.389
CGND.HRA.00060	1	0.307	0.381
CGND.HRA.00061	3	0.899	0.455
CGND.HRA.00062	3	0.753	0.46
CGND.HRA.00064	1	0.113	0.342
CGND.HRA.00065	1	0.623	0.407
CGND.HRA.00066	1	0.827	0.603
CGND.HRA.00068	3	0.772	0.48
CGND.HRA.00083	2	0.623	0.406
CGND.HRA.00084.2	1	0.812	0.351
CGND.HRA.00085	3	0.873	0.391
CGND.HRA.00086	2	0.847	0.603
CGND.HRA.00087	3	0.832	0.39
CGND.HRA.00088	3	0.843	0.405
CGND.HRA.00089.2	2	0.877	0.494
CGND.HRA.00090	3	0.771	0.44
CGND.HRA.00092	1	0.784	0.394
CGND.HRA.00095	2	0.337	0.394
CGND.HRA.00096	3	0.818	0.502
CGND.HRA.00134	3	0.842	0.399
CGND.HRA.00147	2	0.75	0.407
CGND.HRA.00193	3	0.62	0.419
CGND.HRA.00215	2	0.351	0.395
CGND.HRA.00216	3	0.46	0.419
CGND.HRA.00217	2	0.863	0.497
CGND.HRA.00219	3	0.869	0.423
CGND.HRA.00220	3	0.832	0.438
CGND.HRA.00221	3	0.893	0.5
