Database	ID	Final Term	Gene Ratio	Fold Enrichment	p value	adjust p value	-Log(Adj P)	Count	Gene IDs
BP	GO:0050804	BP Modulation of chemical synaptic transmission	0.105555555555556	3.57289562289562	1.6494414341597e-06	0.00153596031572202	2.81362000493315	19	ENSG00000117152/ENSG00000132872/ENSG00000122012/ENSG00000102468/ENSG00000145335/ENSG00000104327/ENSG00000111249/ENSG00000054803/ENSG00000143858/ENSG00000128564/ENSG00000173267/ENSG00000100285/ENSG00000136099/ENSG00000125869/ENSG00000145632/ENSG00000113161/ENSG00000117600/ENSG00000157404/ENSG00000185666
BP	GO:0007218	BP Neuropeptide signaling pathway	0.05	7.97857142857143	1.93445883592193e-06	0.00153596031572202	2.81362000493315	9	ENSG00000006128/ENSG00000109738/ENSG00000144227/ENSG00000141433/ENSG00000164326/ENSG00000152034/ENSG00000123901/ENSG00000128285/ENSG00000112038
BP	GO:0051952	BP Regulation of amine transport	0.0444444444444444	8.9718875502008	3.01452205584729e-06	0.00178094046240889	2.74935059894185	8	ENSG00000117152/ENSG00000132872/ENSG00000169213/ENSG00000102468/ENSG00000145335/ENSG00000164326/ENSG00000173267/ENSG00000179520
BP	GO:0099003	BP Vesicle-mediated transport in synapse	0.0722222222222222	4.76410761154856	3.73833010581212e-06	0.00178094046240889	2.74935059894185	13	ENSG00000041353/ENSG00000132872/ENSG00000091664/ENSG00000213760/ENSG00000169213/ENSG00000122012/ENSG00000145335/ENSG00000143858/ENSG00000173267/ENSG00000157168/ENSG00000121905/ENSG00000179520/ENSG00000185666
BP	GO:0007611	BP Learning or memory	0.0722222222222222	4.30634638196916	1.11472130384229e-05	0.00379323735107476	2.42098998170085	13	ENSG00000132872/ENSG00000102468/ENSG00000104327/ENSG00000111249/ENSG00000152495/ENSG00000198673/ENSG00000145708/ENSG00000145632/ENSG00000113161/ENSG00000186297/ENSG00000139200/ENSG00000157404/ENSG00000146242
BP	GO:0009306	BP Protein secretion	0.0777777777777778	3.68126177024482	2.9559852367598e-05	0.00665259231305632	2.17700909035451	14	ENSG00000175426/ENSG00000132872/ENSG00000171951/ENSG00000145242/ENSG00000141433/ENSG00000054803/ENSG00000128564/ENSG00000164326/ENSG00000173267/ENSG00000113161/ENSG00000250366/ENSG00000138698/ENSG00000143158/ENSG00000112038
BP	GO:0035592	BP Establishment of protein localization to extracellular region	0.0777777777777778	3.65032679738562	3.242230102664e-05	0.00665259231305632	2.17700909035451	14	ENSG00000175426/ENSG00000132872/ENSG00000171951/ENSG00000145242/ENSG00000141433/ENSG00000054803/ENSG00000128564/ENSG00000164326/ENSG00000173267/ENSG00000113161/ENSG00000250366/ENSG00000138698/ENSG00000143158/ENSG00000112038
BP	GO:0007416	BP Synapse assembly	0.0666666666666667	4.18352059925094	3.24944946974275e-05	0.00665259231305632	2.17700909035451	12	ENSG00000022355/ENSG00000145335/ENSG00000111249/ENSG00000172020/ENSG00000054803/ENSG00000185008/ENSG00000165985/ENSG00000186297/ENSG00000174482/ENSG00000146242/ENSG00000149972/ENSG00000153012
BP	GO:0060078	BP Regulation of postsynaptic membrane potential	0.05	5.62248322147651	3.35143189574626e-05	0.00665259231305632	2.17700909035451	9	ENSG00000022355/ENSG00000117152/ENSG00000109738/ENSG00000145451/ENSG00000145335/ENSG00000111249/ENSG00000186297/ENSG00000149305/ENSG00000111262
BP	GO:0071692	BP Protein localization to extracellular region	0.0777777777777778	3.5801282051282	4.00671800869268e-05	0.00734154022823535	2.13421281713422	14	ENSG00000175426/ENSG00000132872/ENSG00000171951/ENSG00000145242/ENSG00000141433/ENSG00000054803/ENSG00000128564/ENSG00000164326/ENSG00000173267/ENSG00000113161/ENSG00000250366/ENSG00000138698/ENSG00000143158/ENSG00000112038
BP	GO:0050433	BP Regulation of catecholamine secretion	0.0277777777777778	11.0813492063492	8.34325505351907e-05	0.0124210209609265	1.90584270532906	5	ENSG00000132872/ENSG00000102468/ENSG00000145335/ENSG00000164326/ENSG00000173267
BP	GO:0051588	BP Regulation of neurotransmitter transport	0.0388888888888889	6.64880952380952	8.93108760731974e-05	0.0125140298121386	1.90260281473872	7	ENSG00000132872/ENSG00000169213/ENSG00000122012/ENSG00000145335/ENSG00000143858/ENSG00000173267/ENSG00000179520
BP	GO:0009581	BP Detection of external stimulus	0.0444444444444444	5.35731414868106	0.000129228165654262	0.0154493837456266	1.81108883929491	8	ENSG00000006128/ENSG00000102468/ENSG00000134343/ENSG00000118402/ENSG00000070729/ENSG00000203668/ENSG00000111262/ENSG00000157404
BP	GO:0009065	BP Glutamine family amino acid catabolic process	0.0222222222222222	14.8933333333333	0.000136597251404005	0.0154493837456266	1.81108883929491	4	ENSG00000136750/ENSG00000128683/ENSG00000120053/ENSG00000065154
BP	GO:0009582	BP Detection of abiotic stimulus	0.0444444444444444	5.28132387706856	0.000142689522419725	0.0154493837456266	1.81108883929491	8	ENSG00000006128/ENSG00000102468/ENSG00000134343/ENSG00000118402/ENSG00000070729/ENSG00000203668/ENSG00000111262/ENSG00000157404
BP	GO:1902476	BP Chloride transmembrane transport	0.0388888888888889	5.97782874617737	0.000174251748396954	0.0167784548786837	1.77524803567409	7	ENSG00000022355/ENSG00000091664/ENSG00000109738/ENSG00000145451/ENSG00000134343/ENSG00000186297/ENSG00000179520
BP	GO:0006091	BP Generation of precursor metabolites and energy	0.0833333333333333	2.95190274841438	0.000184741201263217	0.0167784548786837	1.77524803567409	15	ENSG00000014641/ENSG00000102468/ENSG00000145335/ENSG00000136143/ENSG00000128564/ENSG00000135324/ENSG00000128609/ENSG00000189043/ENSG00000112695/ENSG00000203668/ENSG00000004779/ENSG00000171314/ENSG00000173660/ENSG00000128285/ENSG00000110955
