final_term	GeneRatio	-Log(Adj P)	Count
React Integrin cell surface interactions	0.166666666666667	6.96768902035094	9
React Extracellular matrix organization	0.240740740740741	6.50563738816891	13
React Collagen biosynthesis and modifying enzymes	0.111111111111111	3.92973455731135	6
React ECM proteoglycans	0.111111111111111	3.7419016664509	6
React Collagen chain trimerization	0.0925925925925926	3.7419016664509	5
React Degradation of the extracellular matrix	0.12962962962963	3.56970913576003	7
React Collagen formation	0.111111111111111	3.56970913576003	6
React Non-integrin membrane-ECM interactions	0.0925925925925926	3.32246316181549	5
React Assembly of collagen fibrils and other multimeric structures	0.0925925925925926	3.32246316181549	5
React MET activates PTK2 signaling	0.0740740740740741	3.29171241936734	4
React MET promotes cell motility	0.0740740740740741	2.81418214615684	4
React Platelet Adhesion to exposed collagen	0.0555555555555556	2.81418214615684	3
React Binding and Uptake of Ligands by Scavenger Receptors	0.0740740740740741	2.81418214615684	4
React Smooth Muscle Contraction	0.0740740740740741	2.72704924631112	4
React Interleukin-4 and Interleukin-13 signaling	0.0925925925925926	2.35271067089575	5
React Collagen degradation	0.0740740740740741	2.26681511584096	4
React Laminin interactions	0.0555555555555556	2.03312898633208	3
React Muscle contraction	0.111111111111111	1.95873965596326	6
React Signaling by MET	0.0740740740740741	1.91155978687831	4
React NCAM1 interactions	0.0555555555555556	1.67101889006357	3
React GP1b-IX-V activation signalling	0.037037037037037	1.6539788680476	2
React Scavenging of heme from plasma	0.037037037037037	1.5252845582943	2
React Anchoring fibril formation	0.037037037037037	1.41832727937066	2
React Signaling by PDGF	0.0555555555555556	1.34570638616977	3
React Crosslinking of collagen fibrils	0.037037037037037	1.31231537734625	2
React Diseases of hemostasis	0.037037037037037	1.31231537734625	2
React NCAM signaling for neurite out-growth	0.0555555555555556	1.29760930465884	3
React Scavenging by Class A Receptors	0.037037037037037	1.29760930465884	2
React Cell surface interactions at the vascular wall	0.0740740740740741	1.29746890796879	4
React RHO GTPases activate CIT	0.037037037037037	1.29746890796879	2
React RHO GTPases Activate ROCKs	0.037037037037037	1.29746890796879	2
React Sema4D induced cell migration and growth-cone collapse	0.037037037037037	1.26920443735514	2
React Diseases of glycosylation	0.0740740740740741	1.20940858275386	4
React RHO GTPases activate PAKs	0.037037037037037	1.18107944301952	2
React Sema4D in semaphorin signaling	0.037037037037037	1.17110181639485	2
React NOTCH3 Activation and Transmission of Signal to the Nucleus	0.037037037037037	1.17110181639485	2
React Signaling by Interleukins	0.12962962962963	1.13087950219226	7
React Syndecan interactions	0.037037037037037	1.12921748807914	2
