features	type	values
ELOA3BP	Scale	40.4019557099843
ELOA3BP	Coefficient	2.20817591394628
ELOA3DP	Scale	21.7401478107226
ELOA3DP	Coefficient	1.18821155851637
ELOA3P	Scale	13.1543045088265
ELOA3P	Coefficient	0.718950800045736
ENSG00000287684	Scale	22.772398747149
ENSG00000287684	Coefficient	1.24462941292241
ENSG00000287687	Scale	41.8434618506637
ENSG00000287687	Coefficient	2.28696168269725
ENSG00000287689	Scale	17.0999705198908
ENSG00000287689	Coefficient	0.934601861906479
ENSG00000287696	Scale	36.9754699928968
ENSG00000287696	Coefficient	2.02090074132181
ENSG00000287704	Scale	40.8233280283429
ENSG00000287704	Coefficient	2.23120609126944
ENSG00000287714	Scale	20.586105690156
ENSG00000287714	Coefficient	1.12513718576552
ENSG00000287722	Scale	18.7599924302903
ENSG00000287722	Coefficient	1.02533064804445
ENSG00000287723	Scale	0
ENSG00000287723	Coefficient	0
ENSG00000287730	Scale	23.4836666804874
ENSG00000287730	Coefficient	1.28350388548593
ENSG00000287742	Scale	3.6928861066528
ENSG00000287742	Coefficient	0.201835332234731
ENSG00000287754	Scale	43.8985184469034
ENSG00000287754	Coefficient	2.39928115827382
ENSG00000287755	Scale	9.05269817072745
ENSG00000287755	Coefficient	0.494776792497842
ENSG00000287761	Scale	19.8185854009851
ENSG00000287761	Coefficient	1.08318823091348
ENSG00000287775	Scale	15.3375009967514
ENSG00000287775	Coefficient	0.838273783681811
ENSG00000287792	Scale	24.3981827416209
ENSG00000287792	Coefficient	1.33348691981248
ENSG00000287794	Scale	0
ENSG00000287794	Coefficient	0
ENSG00000287822	Scale	14.246876840958
ENSG00000287822	Coefficient	0.778665530822018
ENSG00000287824	Scale	100
ENSG00000287824	Coefficient	5.46551738682439
ENSG00000287827	Scale	35.3697159500676
ENSG00000287827	Coefficient	1.93313797492134
ENSG00000287832	Scale	4.6142468798477
ENSG00000287832	Coefficient	0.252192465489078
ENSG00000287833	Scale	31.4744758210551
ENSG00000287833	Coefficient	1.7202429484116
ENSG00000287836	Scale	57.5949261202962
ENSG00000287836	Coefficient	3.14786070103345
ENSG00000287840	Scale	45.6296435728977
ENSG00000287840	Coefficient	2.49389610302272
ENSG00000287844	Scale	4.0563713765427
ENSG00000287844	Coefficient	0.221701682859109
ENSG00000287877	Scale	4.6081783660592
ENSG00000287877	Coefficient	0.251860789812845
ENSG00000287880	Scale	1.57693041044777
ENSG00000287880	Coefficient	0.0861874057611443
ENSG00000287893	Scale	22.5289206808467
ENSG00000287893	Coefficient	1.23132207687555
