features	type	values
ELOA3BP	Scale	0
ELOA3BP	Coefficient	0
ELOA3DP	Scale	0
ELOA3DP	Coefficient	0
ELOA3P	Scale	0
ELOA3P	Coefficient	0
ENSG00000287684	Scale	0
ENSG00000287684	Coefficient	0
ENSG00000287687	Scale	0
ENSG00000287687	Coefficient	0
ENSG00000287689	Scale	0
ENSG00000287689	Coefficient	0
ENSG00000287696	Scale	61.1262450917762
ENSG00000287696	Coefficient	0.914230017154053
ENSG00000287704	Scale	0
ENSG00000287704	Coefficient	0
ENSG00000287714	Scale	0
ENSG00000287714	Coefficient	0
ENSG00000287722	Scale	0
ENSG00000287722	Coefficient	0
ENSG00000287723	Scale	0
ENSG00000287723	Coefficient	0
ENSG00000287730	Scale	52.2835384789053
ENSG00000287730	Coefficient	0.781974750922087
ENSG00000287742	Scale	0
ENSG00000287742	Coefficient	0
ENSG00000287754	Scale	0.460111030583043
ENSG00000287754	Coefficient	0.00688161549513037
ENSG00000287755	Scale	0
ENSG00000287755	Coefficient	0
ENSG00000287761	Scale	0
ENSG00000287761	Coefficient	0
ENSG00000287775	Scale	0
ENSG00000287775	Coefficient	0
ENSG00000287792	Scale	0
ENSG00000287792	Coefficient	0
ENSG00000287794	Scale	30.5038829888319
ENSG00000287794	Coefficient	0.45622899666541
ENSG00000287822	Scale	0.283401826847053
ENSG00000287822	Coefficient	0.00423867778285517
ENSG00000287824	Scale	32.0225729824819
ENSG00000287824	Coefficient	0.478943167589237
ENSG00000287827	Scale	0
ENSG00000287827	Coefficient	0
ENSG00000287832	Scale	8.04055935578535
ENSG00000287832	Coefficient	0.120258012032818
ENSG00000287833	Scale	0
ENSG00000287833	Coefficient	0
ENSG00000287836	Scale	0
ENSG00000287836	Coefficient	0
ENSG00000287840	Scale	20.9538306515288
ENSG00000287840	Coefficient	0.313394368118443
ENSG00000287844	Scale	38.2726247276367
ENSG00000287844	Coefficient	0.572421589265679
ENSG00000287877	Scale	0
ENSG00000287877	Coefficient	0
ENSG00000287880	Scale	40.5392746881836
ENSG00000287880	Coefficient	0.606322566320653
ENSG00000287893	Scale	0
ENSG00000287893	Coefficient	0
ENSG00000287894	Scale	0
ENSG00000287894	Coefficient	0
ENSG00000287903	Scale	11.4349730478486
ENSG00000287903	Coefficient	0.171026301222897
ENSG00000287907	Scale	0
ENSG00000287907	Coefficient	0
ENSG00000287926	Scale	0
ENSG00000287926	Coefficient	0
ENSG00000287939	Scale	18.6583037325913
ENSG00000287939	Coefficient	0.279061495040326
ENSG00000287943	Scale	0
ENSG00000287943	Coefficient	0
ENSG00000287950	Scale	0
ENSG00000287950	Coefficient	0
ENSG00000287951	Scale	4.2769176184885
ENSG00000287951	Coefficient	0.063967391778221
ENSG00000287958	Scale	0
ENSG00000287958	Coefficient	0
ENSG00000287961	Scale	0
ENSG00000287961	Coefficient	0
ENSG00000287964	Scale	16.5025461690208
ENSG00000287964	Coefficient	0.246819071653058
ENSG00000287971	Scale	0
ENSG00000287971	Coefficient	0
ENSG00000287979	Scale	28.5008122809685
ENSG00000287979	Coefficient	0.426270222576453
ENSG00000287989	Scale	0
ENSG00000287989	Coefficient	0
ENSG00000287991	Scale	0
ENSG00000287991	Coefficient	0
ENSG00000287992	Scale	20.7471136190957
ENSG00000287992	Coefficient	0.310302620607639
ENSG00000288015	Scale	25.1924339608974
ENSG00000288015	Coefficient	0.376788714857969
ENSG00000288016	Scale	42.0156474819268
ENSG00000288016	Coefficient	0.628403823275389
ENSG00000288022	Scale	0
ENSG00000288022	Coefficient	0
ENSG00000288026	Scale	0
ENSG00000288026	Coefficient	0
ENSG00000288033	Scale	0
ENSG00000288033	Coefficient	0
ENSG00000288039	Scale	0
ENSG00000288039	Coefficient	0
ENSG00000288043	Scale	3.29123941850076
ENSG00000288043	Coefficient	0.0492251710458633
ENSG00000288060	Scale	8.31554522584898
ENSG00000288060	Coefficient	0.124370817200679
ENSG00000288068	Scale	0
ENSG00000288068	Coefficient	0
ENSG00000288082	Scale	2.50421965218194
ENSG00000288082	Coefficient	0.0374541700072433
ENSG00000288084	Scale	11.2977353931884
ENSG00000288084	Coefficient	0.168973716720352
ENSG00000288087	Scale	0.177538135905948
ENSG00000288087	Coefficient	0.00265533557297847
ENSG00000288107	Scale	0
ENSG00000288107	Coefficient	0
ENSG00000288153	Scale	4.45652553063355
ENSG00000288153	Coefficient	0.0666536838014729
ENSG00000288172	Scale	0
ENSG00000288172	Coefficient	0
ENSG00000288349	Scale	0
ENSG00000288349	Coefficient	0
ENSG00000288530	Scale	97.8271072788877
ENSG00000288530	Coefficient	1.46314366000115
ENSG00000288531	Scale	63.7015879003766
ENSG00000288531	Coefficient	0.95274793521935
ENSG00000288532	Scale	0
ENSG00000288532	Coefficient	0
ENSG00000288533	Scale	100
ENSG00000288533	Coefficient	1.49564236406377
ENSG00000288540	Scale	0
ENSG00000288540	Coefficient	0
ENSG00000288549	Scale	0
ENSG00000288549	Coefficient	0
ENSG00000288581	Scale	0
ENSG00000288581	Coefficient	0
ENSG00000288584	Scale	0
ENSG00000288584	Coefficient	0
ENSG00000288648	Scale	20.2760518968825
ENSG00000288648	Coefficient	0.30325722192933
ENSG00000288656	Scale	0
ENSG00000288656	Coefficient	0
ENSG00000288690	Scale	35.4838370065475
ENSG00000288690	Coefficient	0.53071129866526
ENSG00000288694	Scale	14.0963993056155
ENSG00000288694	Coefficient	0.210831719822377
ENSG00000288696	Scale	0
ENSG00000288696	Coefficient	0
ENSG00000288717	Scale	0
ENSG00000288717	Coefficient	0
NPBWR1	Scale	1.25437518705287
NPBWR1	Coefficient	0.0187609667018668
PTCSC1	Scale	17.8648344555354
PTCSC1	Coefficient	0.267194032386847
