features	type	values
ELOA3BP	Scale	15.8582728507748
ELOA3BP	Coefficient	0.292347947906058
ELOA3DP	Scale	4.71245430377944
ELOA3DP	Coefficient	0.0868742995075709
ELOA3P	Scale	11.8954683446559
ELOA3P	Coefficient	0.219293474936756
ENSG00000287684	Scale	19.3879082317872
ENSG00000287684	Coefficient	0.35741692926396
ENSG00000287687	Scale	41.8840529240557
ENSG00000287687	Coefficient	0.77213433250634
ENSG00000287689	Scale	27.2779727963712
ENSG00000287689	Coefficient	0.502870611768214
ENSG00000287696	Scale	37.7560350561921
ENSG00000287696	Coefficient	0.69603414404663
ENSG00000287704	Scale	17.5332900218869
ENSG00000287704	Coefficient	0.323226962114601
ENSG00000287714	Scale	24.6071815447038
ENSG00000287714	Coefficient	0.45363445918983
ENSG00000287722	Scale	0
ENSG00000287722	Coefficient	0
ENSG00000287723	Scale	0
ENSG00000287723	Coefficient	0
ENSG00000287730	Scale	37.0351158442664
ENSG00000287730	Coefficient	0.682743967102661
ENSG00000287742	Scale	18.0891340058179
ENSG00000287742	Coefficient	0.333473970069836
ENSG00000287754	Scale	0
ENSG00000287754	Coefficient	0
ENSG00000287755	Scale	2.82283387715838
ENSG00000287755	Coefficient	0.0520390649746347
ENSG00000287761	Scale	0
ENSG00000287761	Coefficient	0
ENSG00000287775	Scale	22.4977642416919
ENSG00000287775	Coefficient	0.414747259706253
ENSG00000287792	Scale	18.7728700015271
ENSG00000287792	Coefficient	0.346078672809915
ENSG00000287794	Scale	23.4683347144554
ENSG00000287794	Coefficient	0.432639768473168
ENSG00000287822	Scale	0
ENSG00000287822	Coefficient	0
ENSG00000287824	Scale	100
ENSG00000287824	Coefficient	1.84350433781176
ENSG00000287827	Scale	0.46699808285609
ENSG00000287827	Coefficient	0.00860912991494977
ENSG00000287832	Scale	57.877240123614
ENSG00000287832	Coefficient	1.06696943228455
ENSG00000287833	Scale	2.67696779098046
ENSG00000287833	Coefficient	0.0493500173485485
ENSG00000287836	Scale	33.56944462586
ENSG00000287836	Coefficient	0.618854167857046
ENSG00000287840	Scale	2.52136735612569
ENSG00000287840	Coefficient	0.0464815165823468
ENSG00000287844	Scale	45.1328583751447
ENSG00000287844	Coefficient	0.83202620192423
ENSG00000287877	Scale	3.00173521297408
ENSG00000287877	Coefficient	0.0553371188608003
ENSG00000287880	Scale	41.2329960801093
ENSG00000287880	Coefficient	0.760132071346568
ENSG00000287893	Scale	14.5015796757708
