Feature	Gain	Cover	Frequency
ENSG00000287939	19.3177858007608	0.236464968152866	0.1875
ENSG00000287824	11.6183189797946	0.142515923566879	0.125
ENSG00000287961	10.6252694523086	0.0549363057324841	0.125
ENSG00000288530	10.5321737286254	0.0254777070063694	0.0625
ENSG00000287704	9.35805253450289	0.089171974522293	0.0625
ENSG00000287754	8.67861378035682	0.0214968152866242	0.0625
NPBWR1	7.68054128668205	0.0636942675159236	0.0625
ENSG00000287991	7.64652521293397	0.018312101910828	0.0625
PTCSC1	5.45611216750487	0.089171974522293	0.0625
ENSG00000288540	4.18679807589073	0.089171974522293	0.0625
ENSG00000288016	3.28075093572322	0.0851910828025478	0.0625
ENSG00000287880	1.61905804491605	0.0843949044585987	0.0625
