Eta	MaxDepth	Gamma	ColsampleByTree	MinChildWeight	subsample	nrounds	Accuracy	Kappa	AccuracySD	KappaSD
0.1	2	0	0.2	1	1	10	0.781110955151182	0.105214495833464	0.0611449663902976	0.138041806570028
0.1	2	0	0.2	10	1	10	0.783611109261679	0.0354387684163874	0.0620163293200241	0.105924965396247
0.1	2	0	0.2	20	1	10	0.781140425052502	0	0.0597593543862773	0
0.1	2	0	0.6	1	1	10	0.766177706686138	0.144000483797735	0.0534307775798846	0.141152572044829
0.1	2	0	0.6	10	1	10	0.773831244211256	0.0456476917688007	0.0607643882329114	0.10441531149321
0.1	2	0	0.6	20	1	10	0.781140425052502	0	0.0597593543862773	0
0.1	2	0	1	1	1	10	0.76127723475727	0.153775871060309	0.0603635382363711	0.142310414139116
0.1	2	0	1	10	1	10	0.768224484906029	0.0694768437096409	0.0636572114558444	0.127723667695984
0.1	2	0	1	20	1	10	0.781140425052502	0	0.0597593543862773	0
0.1	2	1	0.2	1	1	10	0.777768669316168	0.0900710293831945	0.0594308154417709	0.133386299528641
0.1	2	1	0.2	10	1	10	0.779432843469144	0.0103304583484198	0.0595128576802988	0.0499135888540694
0.1	2	1	0.2	20	1	10	0.781140425052502	0	0.0597593543862773	0
0.1	2	1	0.6	1	1	10	0.761855009025131	0.128980731569138	0.0614658931488067	0.14125706886077
0.1	2	1	0.6	10	1	10	0.773220565219864	0.0580647981288811	0.0572683336496511	0.0999144860940546
0.1	2	1	0.6	20	1	10	0.781140425052502	0	0.0597593543862773	0
0.1	2	1	1	1	1	10	0.763389205405826	0.157034471684547	0.0590560275857122	0.144565294816661
0.1	2	1	1	10	1	10	0.768224484906029	0.0694768437096409	0.0636572114558444	0.127723667695984
0.1	2	1	1	20	1	10	0.781140425052502	0	0.0597593543862773	0
0.1	2	1.5	0.2	1	1	10	0.780908646044423	0.102389114579285	0.0601097397794549	0.152795503540313
0.1	2	1.5	0.2	10	1	10	0.778771444826379	0.00998057440096436	0.058520479427178	0.0628675462202887
