Eta	MaxDepth	Gamma	ColsampleByTree	MinChildWeight	subsample	nrounds	Accuracy	Kappa	AccuracySD	KappaSD
0.1	2	0	0.2	1	1	10	0.748736504799736	0.109197542325224	0.0588743479336294	0.127725373197164
0.1	2	0	0.2	10	1	10	0.747526892860732	0.0343405567477987	0.0624520876247736	0.108425330466879
0.1	2	0	0.2	20	1	10	0.746452586030611	0	0.0602680521654603	0
0.1	2	0	0.6	1	1	10	0.741714757268259	0.169710644281421	0.0661555817799596	0.164529496052782
0.1	2	0	0.6	10	1	10	0.747079583629608	0.109210451633342	0.0610221373618564	0.142520223496501
0.1	2	0	0.6	20	1	10	0.746452586030611	0	0.0602680521654603	0
0.1	2	0	1	1	1	10	0.736380394280404	0.175160694943824	0.0700381970801667	0.185130268229034
0.1	2	0	1	10	1	10	0.743073515884176	0.121925749398142	0.0609147554070116	0.158421637836518
0.1	2	0	1	20	1	10	0.746452586030611	0	0.0602680521654603	0
0.1	2	1	0.2	1	1	10	0.749430415474361	0.109485610493814	0.0578035005495252	0.13717801312931
0.1	2	1	0.2	10	1	10	0.747614971574732	0.0404455014309223	0.0643517113910844	0.111029229296419
0.1	2	1	0.2	20	1	10	0.746452586030611	0	0.0602680521654603	0
0.1	2	1	0.6	1	1	10	0.737971940937207	0.148453717685294	0.0653040083202333	0.16253542462142
0.1	2	1	0.6	10	1	10	0.745681147578158	0.0989735192609312	0.0596461100070055	0.155067568709388
0.1	2	1	0.6	20	1	10	0.746452586030611	0	0.0602680521654603	0
0.1	2	1	1	1	1	10	0.734876634881908	0.170356649431814	0.0688553681909888	0.181012560408506
0.1	2	1	1	10	1	10	0.743073515884176	0.121925749398142	0.0609147554070116	0.158421637836518
0.1	2	1	1	20	1	10	0.746452586030611	0	0.0602680521654603	0
0.1	2	1.5	0.2	1	1	10	0.748175051620646	0.102049016579089	0.0603764475992918	0.13700442723826
0.1	2	1.5	0.2	10	1	10	0.746068772080614	0.0323912336825485	0.0607456850952804	0.10756043258183
0.1	2	1.5	0.2	20	1	10	0.746452586030611	0	0.0602680521654603	0
0.1	2	1.5	0.6	1	1	10	0.745694168002513	0.16626809044313	0.0553851228422502	0.166614685181988
0.1	2	1.5	0.6	10	1	10	0.748484550551503	0.123707475864998	0.0683499504586717	0.167015963162149
0.1	2	1.5	0.6	20	1	10	0.746452586030611	0	0.0602680521654603	0
0.1	2	1.5	1	1	1	10	0.734559174564447	0.169675225916108	0.0687057698889374	0.180886722830718
0.1	2	1.5	1	10	1	10	0.743073515884176	0.121925749398142	0.0609147554070116	0.158421637836518
0.1	2	1.5	1	20	1	10	0.746452586030611	0	0.0602680521654603	0
0.3	2	0	0.2	1	1	10	0.750269230622177	0.156143176565275	0.0534005155268583	0.135984584863455
0.3	2	0	0.2	10	1	10	0.752942832683087	0.11930731497442	0.0686171172241541	0.15243039717047
0.3	2	0	0.2	20	1	10	0.746452586030611	0	0.0602680521654603	0
0.3	2	0	0.6	1	1	10	0.751333004745098	0.197774145930967	0.0521998721485245	0.149523325842333
0.3	2	0	0.6	10	1	10	0.756755004675896	0.148432872432374	0.0673297873397095	0.172067838543353
0.3	2	0	0.6	20	1	10	0.746452586030611	0	0.0602680521654603	0
0.3	2	0	1	1	1	10	0.759268971617918	0.250889790442093	0.0570562509121001	0.145370859774184
0.3	2	0	1	10	1	10	0.757765977286717	0.157458708285311	0.0704793197579558	0.185917697030415
0.3	2	0	1	20	1	10	0.746452586030611	0	0.0602680521654603	0
0.3	2	1	0.2	1	1	10	0.747906948592072	0.152829656113292	0.0552381036340787	0.152599183808288
0.3	2	1	0.2	10	1	10	0.747621837261635	0.102991084745333	0.0655116476905879	0.163892618192796
0.3	2	1	0.2	20	1	10	0.746452586030611	0	0.0602680521654603	0
0.3	2	1	0.6	1	1	10	0.753037079973704	0.211775343456356	0.0578240006691748	0.144927059802218
0.3	2	1	0.6	10	1	10	0.754684046171175	0.135504905136554	0.0669525542687559	0.175672837670261
0.3	2	1	0.6	20	1	10	0.746452586030611	0	0.0602680521654603	0
0.3	2	1	1	1	1	10	0.756283390789258	0.236549006743252	0.060761200143527	0.159895056081513
0.3	2	1	1	10	1	10	0.757765977286717	0.157458708285311	0.0704793197579558	0.185917697030415
0.3	2	1	1	20	1	10	0.746452586030611	0	0.0602680521654603	0
0.3	2	1.5	0.2	1	1	10	0.756812907665866	0.182493132708882	0.0612785441254945	0.159600424195951
0.3	2	1.5	0.2	10	1	10	0.753295303737651	0.104487327255395	0.0676428858307963	0.158974039143038
0.3	2	1.5	0.2	20	1	10	0.746452586030611	0	0.0602680521654603	0
0.3	2	1.5	0.6	1	1	10	0.749142196476	0.205085220876333	0.0538846154196973	0.136554495903052
0.3	2	1.5	0.6	10	1	10	0.750755795842271	0.116941076810595	0.0675722868043165	0.176001689800555
0.3	2	1.5	0.6	20	1	10	0.746452586030611	0	0.0602680521654603	0
0.3	2	1.5	1	1	1	10	0.755379642701021	0.234463186065483	0.0569754982625108	0.150752988407677
0.3	2	1.5	1	10	1	10	0.757765977286717	0.157458708285311	0.0704793197579558	0.185917697030415
0.3	2	1.5	1	20	1	10	0.746452586030611	0	0.0602680521654603	0
0.5	2	0	0.2	1	1	10	0.745999436309403	0.203389541852871	0.058617910162484	0.160647641125753
0.5	2	0	0.2	10	1	10	0.743317560427972	0.0919071492470909	0.0637964466865141	0.151951808231625
0.5	2	0	0.2	20	1	10	0.746452586030611	0	0.0602680521654603	0
0.5	2	0	0.6	1	1	10	0.753072513327592	0.233545390436508	0.0555265941108302	0.162581207345984
0.5	2	0	0.6	10	1	10	0.748402647960262	0.137358254342587	0.0652246327694586	0.178777277914751
0.5	2	0	0.6	20	1	10	0.746452586030611	0	0.0602680521654603	0
0.5	2	0	1	1	1	10	0.758536813020512	0.257727422214384	0.0607071702621336	0.164741737309823
0.5	2	0	1	10	1	10	0.745426729922564	0.118291689458889	0.0628522928844861	0.170440008391333
0.5	2	0	1	20	1	10	0.746452586030611	0	0.0602680521654603	0
0.5	2	1	0.2	1	1	10	0.745814700464159	0.184289359459942	0.0576768237493847	0.141814666827297
0.5	2	1	0.2	10	1	10	0.744589377786815	0.0820605332069025	0.0632536053941827	0.133453603124682
0.5	2	1	0.2	20	1	10	0.746452586030611	0	0.0602680521654603	0
