Eta	MaxDepth	Gamma	ColsampleByTree	MinChildWeight	subsample	nrounds	Accuracy	Kappa	AccuracySD	KappaSD
0.1	2	0	0.2	1	1	10	0.655203761771333	0.304017644252558	0.0679610246171196	0.129325445369769
0.1	2	0	0.2	10	1	10	0.633865511914268	0.267528615231378	0.0674873621746797	0.13114992448222
0.1	2	0	0.2	20	1	10	0.495115207574846	0	0.0809373306907322	0
0.1	2	0	0.6	1	1	10	0.664291221358491	0.321567697359154	0.0789923575949944	0.155170085453456
0.1	2	0	0.6	10	1	10	0.623065381321689	0.240898465529888	0.0762533017511669	0.148925944286717
0.1	2	0	0.6	20	1	10	0.495115207574846	0	0.0809373306907322	0
0.1	2	0	1	1	1	10	0.672270994228822	0.335225762320994	0.0900637511230924	0.175698757212995
0.1	2	0	1	10	1	10	0.624573190184064	0.243446768911474	0.0715483778718442	0.139961520838532
0.1	2	0	1	20	1	10	0.495115207574846	0	0.0809373306907322	0
0.1	2	1	0.2	1	1	10	0.654554341414756	0.304258503583684	0.0697866237689776	0.136615959220376
0.1	2	1	0.2	10	1	10	0.636837895407605	0.274262380249379	0.066882591513134	0.128230865583987
0.1	2	1	0.2	20	1	10	0.495115207574846	0	0.0809373306907322	0
0.1	2	1	0.6	1	1	10	0.668361032298096	0.330740119745752	0.0806890344248197	0.158679171619716
0.1	2	1	0.6	10	1	10	0.624285522648615	0.243429242611895	0.0682400923432408	0.133086825468617
0.1	2	1	0.6	20	1	10	0.495115207574846	0	0.0809373306907322	0
0.1	2	1	1	1	1	10	0.672489210740929	0.335472347982535	0.0903806528871967	0.177271184654847
0.1	2	1	1	10	1	10	0.624573190184064	0.243446768911474	0.0715483778718442	0.139961520838532
0.1	2	1	1	20	1	10	0.495115207574846	0	0.0809373306907322	0
0.1	2	1.5	0.2	1	1	10	0.652679853532576	0.299853992134871	0.0731248410663837	0.15354547185637
0.1	2	1.5	0.2	10	1	10	0.623327553173255	0.246347359935789	0.0784760396565701	0.149746186004441
0.1	2	1.5	0.2	20	1	10	0.495115207574846	0	0.0809373306907322	0
0.1	2	1.5	0.6	1	1	10	0.677315603873172	0.348296819115165	0.0762455454404671	0.153343382190608
0.1	2	1.5	0.6	10	1	10	0.626539414113513	0.247691024872772	0.0704220889908054	0.137192496029784
0.1	2	1.5	0.6	20	1	10	0.495115207574846	0	0.0809373306907322	0
0.1	2	1.5	1	1	1	10	0.672996438957213	0.336783967950732	0.0895034162632111	0.17520288338796
0.1	2	1.5	1	10	1	10	0.624573190184064	0.243446768911474	0.0715483778718442	0.139961520838532
0.1	2	1.5	1	20	1	10	0.495115207574846	0	0.0809373306907322	0
0.3	2	0	0.2	1	1	10	0.665028961155477	0.325060269819971	0.0667855799823925	0.131664194898889
0.3	2	0	0.2	10	1	10	0.635363433454003	0.269639159155253	0.0677497789752155	0.134977259566445
0.3	2	0	0.2	20	1	10	0.495115207574846	0	0.0809373306907322	0
0.3	2	0	0.6	1	1	10	0.67590735706296	0.34498403576703	0.0747304728666136	0.151675428251847
0.3	2	0	0.6	10	1	10	0.623467790025179	0.243534555666812	0.0652089936716652	0.129134574059377
0.3	2	0	0.6	20	1	10	0.495115207574846	0	0.0809373306907322	0
0.3	2	0	1	1	1	10	0.674418900253347	0.34019929720376	0.0719725611660126	0.144276436625393
0.3	2	0	1	10	1	10	0.62773058732668	0.251066801534133	0.060446632328841	0.122502351553972
0.3	2	0	1	20	1	10	0.495115207574846	0	0.0809373306907322	0
0.3	2	1	0.2	1	1	10	0.65767218574018	0.314129288398492	0.0783984326418152	0.155565659424203
0.3	2	1	0.2	10	1	10	0.633465038368798	0.265420862214098	0.0681084197674857	0.136549025222346
0.3	2	1	0.2	20	1	10	0.495115207574846	0	0.0809373306907322	0
0.3	2	1	0.6	1	1	10	0.668414209361246	0.329040529593536	0.0695135018307978	0.139347155537584
0.3	2	1	0.6	10	1	10	0.622333398501548	0.243504523449206	0.0691771866769224	0.137997121192224
0.3	2	1	0.6	20	1	10	0.495115207574846	0	0.0809373306907322	0
0.3	2	1	1	1	1	10	0.676239298843369	0.344115993835043	0.0739435358699517	0.146678715516659
0.3	2	1	1	10	1	10	0.62773058732668	0.251066801534133	0.060446632328841	0.122502351553972
0.3	2	1	1	20	1	10	0.495115207574846	0	0.0809373306907322	0
0.3	2	1.5	0.2	1	1	10	0.662751592512989	0.320849171355275	0.0773986096201289	0.155568968060686
