Database	ID	Final Term	Gene Ratio	Fold Enrichment	p value	adjust p value	-Log(Adj P)	Count	Gene IDs
BP	GO:0022613	BP Ribonucleoprotein complex biogenesis	0.103107344632768	2.74690377170956	1.14666081300928e-15	4.39056425301254e-12	11.3574796628507	73	ATM/ATR/CLNS1A/DDX1/EIF5/HSP90AA1/EIF3E/NUP88/RPL7/RPL11/RPL26/RPL27/RPS24/SRSF1/SRSF6/SNRPA1/SNRPB2/SNRPD1/SNRPD2/SNRPE/SNRPF/SNRPG/TAF9/XPO1/EIF3J/PRP4K/NOLC1/EIF5B/MPHOSPH10/EMG1/EIF3M/RPP30/USP16/WDR3/SF3A3/KRR1/PSIP1/RPL35/EXOSC8/FASTKD2/KHDC4/RBM34/WDR43/MDN1/EXOSC2/MTREX/NGDN/UTP25/DROSHA/GNL2/DNTTIP2/MTERF3/RRP15/UTP18/SBDS/DDX47/LUC7L3/GAR1/RRN3/PRPF39/HEATR3/NOL8/SDAD1/SHQ1/BRIX1/RPF1/WDR75/UTP23/MAK16/FDXACB1/METTL18/METTL15/RBIS
BP	GO:0008380	BP Rna splicing	0.0833333333333333	2.44041560644614	1.14447661383837e-10	2.19110047719356e-07	6.65933770656062	59	CDC5L/CLNS1A/DDX1/GRSF1/HNRNPA2B1/HNRNPH1/HNRNPH3/PIK3R1/PLRG1/PPP1R8/SFPQ/SRSF1/SRSF2/SRSF3/SRSF6/SRSF7/TRA2B/SNRPA1/SNRPB2/SNRPD1/SNRPD2/SNRPE/SNRPF/SNRPG/TAF9/PRP4K/SRSF11/PPIG/SUPT7L/RBM12/MPHOSPH10/HNRNPR/TCERG1/SF3A3/PSIP1/KHDC4/NCBP2/PPWD1/MTREX/LSM1/LSM3/DDX47/CWC15/RTRAF/PPIL1/LSM8/LUC7L3/PRPF39/ARGLU1/PRPF38B/SMU1/METTL14/C2orf49/THOC7/RBM17/FRA10AC1/HNRNPA3/SREK1IP1/RBM12B
BP	GO:0006364	BP Rrna processing	0.0480225988700565	2.59479854645765	2.54970276059697e-07	0.000122035148379073	3.91351506646785	34	RPL7/RPL11/RPL26/RPL27/RPS24/NOLC1/MPHOSPH10/EMG1/RPP30/WDR3/KRR1/RPL35/EXOSC8/RBM34/WDR43/EXOSC2/MTREX/NGDN/UTP25/DROSHA/RRP15/UTP18/SBDS/DDX47/GAR1/NOL8/BRIX1/RPF1/WDR75/UTP23/MAK16/FDXACB1/METTL18/METTL15
BP	GO:0022618	BP Protein-rna complex assembly	0.0423728813559322	2.67950270068914	6.42521355916304e-07	0.000273357141311503	3.56326957590936	30	ATM/ATR/CLNS1A/DDX1/EIF5/HSP90AA1/EIF3E/RPL11/SRSF1/SRSF6/SNRPA1/SNRPB2/SNRPD1/SNRPD2/SNRPE/SNRPF/SNRPG/TAF9/EIF3J/PRP4K/EIF3M/SF3A3/PSIP1/FASTKD2/KHDC4/MDN1/LUC7L3/PRPF39/SHQ1/BRIX1
BP	GO:0016072	BP Rrna metabolic process	0.0522598870056497	2.36794897459851	7.94381953998724e-07	0.000304168850186111	3.51688526393512	37	RPL7/RPL11/RPL26/RPL27/RPS24/NOLC1/GTF3C4/MPHOSPH10/EMG1/RPP30/WDR3/KRR1/RPL35/EXOSC8/RBM34/WDR43/EXOSC2/MTREX/NGDN/UTP25/DROSHA/RRP15/UTP18/SBDS/DDX47/GAR1/NOL8/BRIX1/RPF1/WDR75/UTP23/NIFK/MAK16/FDXACB1/METTL18/METTL15/POLR1F
BP	GO:0071826	BP Protein-rna complex organization	0.0423728813559322	2.55324341112787	1.82659446877818e-06	0.000635820929177422	3.1966651806102	30	ATM/ATR/CLNS1A/DDX1/EIF5/HSP90AA1/EIF3E/RPL11/SRSF1/SRSF6/SNRPA1/SNRPB2/SNRPD1/SNRPD2/SNRPE/SNRPF/SNRPG/TAF9/EIF3J/PRP4K/EIF3M/SF3A3/PSIP1/FASTKD2/KHDC4/MDN1/LUC7L3/PRPF39/SHQ1/BRIX1
BP	GO:0001510	BP Rna methylation	0.0211864406779661	3.20835191793042	4.95450921296835e-05	0.0126472105176372	1.89800525238443	15	SNRPD1/SNRPD2/SNRPE/SNRPF/SNRPG/TARBP1/EMG1/THUMPD3/METTL14/THUMPD2/FDXACB1/HENMT1/TYW3/METTL15/NSUN6
BP	GO:0002181	BP Cytoplasmic translation	0.0310734463276836	2.44948146428295	8.11819703016916e-05	0.0182850449579516	1.73790396751263	22	EIF4A2/EIF5/EIF3E/RPL7/RPL11/RPL17/RPL22/RPL26/RPL27/RPL32/RPL34/RPL37/RPL41/RPS10/RPS24/EIF3J/RPL23/EIF3M/RPL35/NCBP2/ZC3H15/RPL22L1
BP	GO:0006119	BP Oxidative phosphorylation	0.0254237288135593	2.56668153434434	0.000194314505997769	0.0413350135258589	1.38368191592408	18	ATP5F1C/ATP5PB/ATP5PF/ATP5PO/COX6C/COX7C/MSH2/NDUFA4/NDUFA5/NDUFA6/NDUFB5/NDUFS4/NDUFS5/UQCRB/UQCRH/ATP5MG/UQCC2/COA6
CC	GO:0005681	CC Spliceosomal complex	0.0476190476190476	3.07373271889401	1.96877719949182e-09	1.05526457892762e-06	5.97663863916969	35	CDC5L/CLNS1A/HNRNPA2B1/HNRNPH1/HNRNPH3/PLRG1/PPP1R8/SRSF1/SRSF2/TRA2B/SNRPA1/SNRPB2/SNRPD1/SNRPD2/SNRPE/SNRPF/SNRPG/API5/PRP4K/HNRNPDL/HNRNPR/SF3A3/KHDC4/PPWD1/MTREX/LSM3/CWC15/PPIL1/LSM8/LUC7L3/PRPF39/PRPF38B/SMU1/RBM17/HNRNPA3
