Database	ID	Final Term	Gene Ratio	Fold Enrichment	p value	adjust p value	-Log(Adj P)	Count	Gene IDs
BP	GO:0006909	BP Phagocytosis	0.0456730769230769	2.78122456247456	2.25139924876933e-13	1.09733199385017e-09	8.95966195831051	57	ANXA11/AZU1/CD14/SCARB1/CEACAM4/CLN3/CNN2/CSK/CYBA/DNM2/DOCK2/FCER1G/FCN1/FGR/GSN/HCK/ICAM3/ITGAM/ITGB2/ITGB3/MYD88/MYH9/NCF2/NCF4/PAK1/PECAM1/PLCG2/PLD2/PRKCD/RARA/SLC11A1/SYK/TGFB1/THBS1/TYROBP/VAV1/RAB7A/DYSF/MARCO/ELMO1/ARHGAP25/SIRPB1/LMAN2/CORO1A/TREX1/CD300A/JMJD6/PIP5K1C/SH3BP1/PYCARD/XKR8/RAB20/RAB34/SIRPA/CD300LF/UNC13D/PEAR1
BP	GO:0007015	BP Actin filament organization	0.0625	2.18636018237082	1.12099028902583e-11	2.73185333435595e-08	7.56354262043329	78	ACTG1/ACTN1/ADD1/ALDOA/ARF1/RHOA/RHOG/ARRB1/CAPG/CAPZB/CFL1/CNN2/DBN1/DIAPH1/DNM2/CTTN/PTK2B/FLII/GRB2/GSN/HCK/HCLS1/INPPL1/ITGB5/MYO1F/MYO7B/PAK1/PFN1/PRKCD/PXN/RAC1/RAC2/SLC9A1/SRF/VASP/WIPF1/ZYX/TAGLN2/GAS7/NRP1/PSTPIP1/PDLIM1/ARHGEF2/PPM1F/ELMO1/ARHGAP25/WDR1/ARPC4/ARPC1B/CDC42EP2/ARPC1A/GAS2L1/TRIOBP/CDC42EP1/CORO1A/TWF2/COTL1/SH3BP1/PYCARD/F11R/MSRB1/INPP5K/SSH3/BIN3/PREX1/GBA2/MICAL1/MARCKSL1/CORO7/MICALL2/LIMD2/PPP1R9B/FCHSD1/ESAM/MYADM/ARAP1/SAMD14/KCTD13
BP	GO:0002275	BP Myeloid cell activation involved in immune response	0.0240384615384615	3.59296953046953	1.08599208885391e-10	1.76437514702466e-07	6.75340906831942	30	DOCK2/FCER1G/FES/FGR/GRN/IL4R/ITGAM/ITGB2/LGALS9/MYD88/PIK3CD/PLCG2/PTAFR/PTPN6/RAC2/SPI1/STX4/STXBP2/SYK/TYROBP/LAT2/DYSF/GAB2/LILRA2/TREX1/CD300A/SBNO2/PYCARD/PRAM1/UNC13D
BP	GO:0050900	BP Leukocyte migration	0.0536858974358974	2.13796191553545	9.0985006607719e-10	7.95015676328511e-07	6.09962430772611	67	ADAM8/AGER/AKT1/ALOX5/RHOA/AZU1/C5AR1/CCR1/CNN2/CSF1R/CSF3R/DUSP1/PTK2B/FCER1G/FUT7/GBA1/GP1BA/FFAR2/HCK/HMOX1/CXCR1/CXCR2/IL16/ITGA2B/ITGB2/ITGB3/LGALS9/MYD88/MYH9/NINJ1/CCN3/PECAM1/PF4/PIK3CD/MAPK3/PTAFR/RAC1/RAC2/SELP/SELPLG/ST3GAL4/STK10/SYK/TGFB1/THBS1/TRPM2/VAV1/WDR1/CORO1A/CD300A/PIP5K1C/DAPK2/IL17RA/C5AR2/PYCARD/F11R/TREM1/TRPM4/PREX1/CXCL16/GPSM3/RIN3/SLC8B1/NLRP12/JAML/SPNS2/SIRPA
BP	GO:0002274	BP Myeloid leukocyte activation	0.0400641025641026	2.45264764048009	9.67398056748955e-10	7.95015676328511e-07	6.09962430772611	50	AGER/AZU1/C5AR1/CD33/CEBPA/CLU/DOCK2/FCER1G/FES/FGR/GRN/IL4R/CXCR2/IL16/ITGAM/ITGB2/LGALS9/LTBR/MYD88/PIK3CD/PLCG2/PRKCD/PTAFR/PTPN6/RAC2/RELB/SLC11A1/SPI1/STX4/STXBP2/SYK/TGFB1/THBS1/TYROBP/LAT2/DYSF/GAB2/NDRG1/LILRB4/LILRA2/TREX1/CD300A/SBNO2/JMJD6/PYCARD/PREX1/PRAM1/BATF2/CD300LF/UNC13D
BP	GO:0060627	BP Regulation of vesicle-mediated transport	0.0657051282051282	1.96415667665668	9.78681587601778e-10	7.95015676328511e-07	6.09962430772611	82	ACTB/ACTG1/AP2A1/ARF1/ARHGAP1/ARRB1/ARRB2/AZU1/CD14/SCARB1/CD63/AP2M1/CLU/CLN3/CNN2/CSK/CYBA/DLG4/DOCK2/FCER1G/FCN1/FES/FGR/GNAI2/HCK/IL4R/ITGAM/ITGB2/ITGB3/LAMP1/LGALS9/LRPAP1/PLCG2/PLD2/SEPTIN5/SEPTIN4/MAPK3/MAP2K2/PTAFR/RAC1/RAC2/SLC11A1/SPI1/STX4/STXBP2/SYK/TGFB1/TSC2/NR1H2/RAB7A/DYSF/NRP1/UNC119/HGS/RAB11B/RAB3D/GAB2/FLOT1/SIRPB1/EHD1/LMAN2/CORO1A/PACSIN2/CD300A/RPH3A/CHMP2A/PYCARD/RAB4B/NECAB2/VPS18/MICAL1/RIN3/RUFY1/DNAJC5/PRAM1/STON2/LRSAM1/SIRPA/CD300LF/UNC13D/TPCN2/ANKRD13D
BP	GO:0071706	BP Tumor necrosis factor superfamily cytokine production	0.032051282051282	2.63484432234432	5.01441216873315e-09	3.05503061380067e-06	5.5149844334286	40	ADAM8/AGER/ARRB2/AZU1/BCL3/TSPO/CD14/TNFRSF8/CD33/CLU/CYBA/GSTP1/HLA-E/LGALS9/MYD88/OAS1/OAS2/PF4/PLCG2/PTAFR/PTPN6/RARA/STAT3/SYK/TGFB1/THBS1/TYROBP/ZFP36/ARHGEF2/MAPKAPK2/ARID5A/LILRB4/LILRA2/TREX1/C5AR2/PYCARD/VSIR/FRMD8/SIRPA/LILRA5
BP	GO:1903555	BP Regulation of tumor necrosis factor superfamily cytokine production	0.032051282051282	2.63484432234432	5.01441216873315e-09	3.05503061380067e-06	5.5149844334286	40	ADAM8/AGER/ARRB2/AZU1/BCL3/TSPO/CD14/TNFRSF8/CD33/CLU/CYBA/GSTP1/HLA-E/LGALS9/MYD88/OAS1/OAS2/PF4/PLCG2/PTAFR/PTPN6/RARA/STAT3/SYK/TGFB1/THBS1/TYROBP/ZFP36/ARHGEF2/MAPKAPK2/ARID5A/LILRB4/LILRA2/TREX1/C5AR2/PYCARD/VSIR/FRMD8/SIRPA/LILRA5
BP	GO:0006935	BP Chemotaxis	0.0520833333333333	2.04582622298066	1.0580076514168e-08	4.21265969726984e-06	5.37544362218507	65	ADAM8/AGER/ALOX5/RHOA/RHOG/ARRB2/AZU1/C5AR1/CCR1/CSF1R/CSF3R/DOCK2/DUSP1/DUSP3/PTK2B/FCER1G/FES/FPR1/FFAR2/CXCR1/CXCR2/IL16/ITGB2/ITGB3/LGALS9/LSP1/NINJ1/CCN3/PF4/PIK3CD/PLAUR/PRKCD/MAPK3/PTAFR/RAC1/RAC2/RNASE2/STX4/SYK/TGFB1/THBS1/TRPM2/TSC2/VAV1/NRP1/PPM1F/SEMA4D/SEMA4B/CORO1A/PIP5K1C/DAPK2/IL17RA/PRKD2/C5AR2/TREM1/TRPM4/PREX1/CXCL16/GPSM3/SEMA4A/RIN3/SLC8B1/CMTM7/CMTM5/JAML
BP	GO:0007033	BP Vacuole organization	0.0408653846153846	2.27207590115199	1.1236064026366e-08	4.21265969726984e-06	5.37544362218507	51	ATP6V0B/ATP6V0A1/TPP1/CLN3/CTSD/GAA/GBA1/GRN/HPS1/LAMP1/CHMP1A/PI4KB/RALB/LAPTM5/RAB7A/TFEB/ULK1/MTMR3/ATP6V1F/ATG13/TOM1/TCIRG1/ATG7/CORO1A/TREX1/GABARAP/ATG2A/ATG4B/WIPI2/CHMP2A/CLN6/LAMTOR1/WIPI1/RAB20/NSFL1C/ELAPOR1/VPS18/TP53INP2/ATG9A/PHF23/RAB1B/RAB34/SPNS1/FHIP1B/MAP1LC3A/ATG16L2/LRSAM1/CHMP4B/TPCN2/RAB43/RNASEK
