final_term	GeneRatio	-Log(Adj P)	Count
BP ribonucleoprotein complex biogenesis	0.103107344632768	11.3574796628507	73
BP RNA splicing	0.0833333333333333	6.65933770656062	59
CC spliceosomal complex	0.0476190476190476	5.97663863916969	35
CC organelle inner membrane	0.0775510204081633	4.12089329534499	57
CC ribosomal subunit	0.0394557823129252	4.07541398894654	29
BP rRNA processing	0.0480225988700565	3.91351506646785	34
BP protein-RNA complex assembly	0.0423728813559322	3.56326957590936	30
MF structural constituent of ribosome	0.0385144429160935	3.56209869342553	28
BP rRNA metabolic process	0.0522598870056497	3.51688526393512	37
BP protein-RNA complex organization	0.0423728813559322	3.1966651806102	30
CC chromosomal region	0.0557823129251701	3.04449132524335	41
CC mitochondrial protein-containing complex	0.0340136054421769	2.89613844377612	25
CC methylosome	0.00816326530612245	2.89613844377612	6
CC mitochondrial small ribosomal subunit	0.0122448979591837	2.59567963574038	9
CC Sm-like protein family complex	0.0204081632653061	2.2459838338408	15
CC preribosome	0.0217687074829932	2.08733642556275	16
CC respiratory chain complex	0.019047619047619	2.08614719449616	14
BP RNA methylation	0.0211864406779661	1.89800525238443	15
CC ESC/E(Z) complex	0.00680272108843537	1.74771642500146	5
BP cytoplasmic translation	0.0310734463276836	1.73790396751263	22
CC heterochromatin	0.0149659863945578	1.61470303262315	11
CC SMN-Sm protein complex	0.00680272108843537	1.51932813491697	5
CC Cajal body	0.0136054421768707	1.46497274252761	10
BP oxidative phosphorylation	0.0254237288135593	1.38368191592408	18
CC proton-transporting ATP synthase complex	0.00680272108843537	1.31280679393787	5
