final_term	GeneRatio	-Log(Adj P)	Count
CC secretory granule membrane	0.0655358519660756	19.107630255976	85
CC ficolin-1-rich granule	0.0439475713184271	12.0938250750518	57
CC actin cytoskeleton	0.0647648419429453	9.04678836158648	84
BP phagocytosis	0.0456730769230769	8.95966195831051	57
CC vacuolar membrane	0.0693909020817271	8.11997650724463	90
BP actin filament organization	0.0625	7.56354262043329	78
CC endocytic vesicle	0.0493446414803392	7.18754767751259	64
CC primary lysosome	0.0316114109483423	6.99330281911327	41
BP myeloid cell activation involved in immune response	0.0240384615384615	6.75340906831942	30
BP leukocyte migration	0.0536858974358974	6.09962430772611	67
BP myeloid leukocyte activation	0.0400641025641026	6.09962430772611	50
BP regulation of vesicle-mediated transport	0.0657051282051282	6.09962430772611	82
CC cell leading edge	0.0524286815728604	5.68507502128084	68
BP tumor necrosis factor superfamily cytokine production	0.032051282051282	5.5149844334286	40
BP regulation of tumor necrosis factor superfamily cytokine production	0.032051282051282	5.5149844334286	40
CC endosome membrane	0.0678488820354665	5.48282447216615	88
BP chemotaxis	0.0520833333333333	5.37544362218507	65
BP vacuole organization	0.0408653846153846	5.37544362218507	51
CC lamellipodium	0.030840400925212	5.05170102170481	40
BP regulation of innate immune response	0.0608974358974359	5.02164722989466	76
MF actin binding	0.0512024825446082	4.97678447115599	66
BP viral process	0.0592948717948718	4.82607240496558	74
BP cytokine-mediated signaling pathway	0.0576923076923077	4.70699423371087	72
BP response to wounding	0.0600961538461538	4.56091032213015	75
BP positive regulation of response to external stimulus	0.0721153846153846	4.56091032213015	90
BP receptor-mediated endocytosis	0.0376602564102564	4.52231941479207	47
CC cell-substrate junction	0.0524286815728604	4.50753216326321	68
BP regulation of inflammatory response	0.0480769230769231	4.49315357305012	60
BP regulation of cell shape	0.0248397435897436	4.45408443776304	31
BP lysosome localization	0.0184294871794872	4.34217684245123	23
BP G protein-coupled receptor signaling pathway	0.063301282051282	4.33667563559156	79
BP regulation of body fluid levels	0.0424679487179487	4.33667563559156	53
BP vacuolar localization	0.0184294871794872	4.26935603863423	23
BP immune response-regulating signaling pathway	0.0713141025641026	4.26186526668165	89
BP negative regulation of response to external stimulus	0.047275641025641	4.1936837501806	59
BP regulation of protein-containing complex assembly	0.0536858974358974	4.15405040914037	67
MF cell adhesion molecule binding	0.0605120248254461	4.14384734995717	78
CC cell-cell junction	0.0470316114109483	4.0554151244762	61
BP leukocyte chemotaxis	0.032051282051282	3.85406604996719	40
BP regulation of immune effector process	0.0504807692307692	3.81020374537153	63
CC cell cortex	0.0370084811102544	3.76866176362284	48
BP regulation of response to biotic stimulus	0.0649038461538462	3.73617760112396	81
BP leukocyte degranulation	0.0168269230769231	3.63275143837923	21
BP superoxide anion generation	0.0104166666666667	3.53809491625568	13
CC lipid droplet	0.0169622205088666	3.53712013959856	22
BP regulation of actin filament-based process	0.0432692307692308	3.43892475717267	54
BP bone resorption	0.0136217948717949	3.36383186549341	17
BP positive regulation of catalytic activity	0.0673076923076923	3.35261757833303	84
BP negative regulation of immune system process	0.0584935897435897	3.26081946527332	73
BP symbiont entry into host cell	0.0240384615384615	3.24816502879715	30
BP receptor internalization	0.0208333333333333	3.15932585690559	26
BP protein polymerization	0.0376602564102564	3.1128454588055	47
BP positive regulation of cell adhesion	0.0528846153846154	3.10919950927835	66
BP response to bacterium	0.0649038461538462	3.0846390051952	81
BP regulation of actin cytoskeleton organization	0.0392628205128205	3.02294221503887	49
BP blood coagulation	0.0288461538461538	3.02294221503887	36
BP regulation of hydrolase activity	0.0576923076923077	3.00014503429111	72
BP myeloid leukocyte mediated immunity	0.0200320512820513	3.00014503429111	25
BP macroautophagy	0.0480769230769231	2.9460122791578	60
BP coagulation	0.0288461538461538	2.92560877976817	36
BP regulation of peptidase activity	0.0344551282051282	2.90370371242146	43
BP mononuclear cell differentiation	0.0592948717948718	2.87538205506966	74
BP regulation of actin filament polymerization	0.0208333333333333	2.85687466729432	26
BP regulation of leukocyte migration	0.0296474358974359	2.85668449208791	37
BP negative regulation of immune response	0.0288461538461538	2.8408903509938	36
CC phagophore assembly site membrane	0.00693909020817271	2.83574781771221	9
BP intracellular pH reduction	0.0120192307692308	2.79531314345836	15
BP neutrophil degranulation	0.00560897435897436	2.74691340742624	7
BP regulation of cellular component size	0.0392628205128205	2.74209706664723	49
BP positive regulation of proteolysis	0.0392628205128205	2.74209706664723	49
BP regulation of mast cell degranulation	0.00801282051282051	2.73820857226982	10
BP vesicle organization	0.0456730769230769	2.73820857226982	57
CC cortical cytoskeleton	0.015420200462606	2.73676733866258	20
CC uropod	0.0053970701619121	2.69065363453384	7
BP regulation of cellular catabolic process	0.0528846153846154	2.68372330559657	66
BP lipid localization	0.0456730769230769	2.63209160150763	57
CC vacuolar lumen	0.023130300693909	2.60552204418612	30
BP production of molecular mediator involved in inflammatory response	0.015224358974359	2.59667314763509	19
BP T cell activation	0.0641025641025641	2.57363309674757	80
CC NADPH oxidase complex	0.0046260601387818	2.56360293784028	6
BP leukocyte cell-cell adhesion	0.0480769230769231	2.55021112737283	60
BP positive regulation of locomotion	0.0536858974358974	2.49249406697731	67
BP endomembrane system organization	0.0641025641025641	2.48506481612069	80
CC side of membrane	0.0609097918272938	2.48400483225948	79
CC cell trailing edge	0.0053970701619121	2.4832352710964	7
BP cellular component disassembly	0.0504807692307692	2.46341286957724	63
BP bone remodeling	0.0136217948717949	2.46096255095836	17
BP carbohydrate catabolic process	0.0240384615384615	2.458820051655	30
BP endothelial cell migration	0.0256410256410256	2.44803819436438	32
BP regulation of protein phosphorylation	0.0641025641025641	2.44428650588486	80
BP membrane invagination	0.0128205128205128	2.44428650588486	16
BP inflammasome-mediated signaling pathway	0.00961538461538462	2.44416464737313	12
BP platelet morphogenesis	0.00801282051282051	2.44416464737313	10
BP regulation of supramolecular fiber organization	0.0424679487179487	2.43166992724086	53
BP negative regulation of transport	0.0408653846153846	2.43166992724086	51
MF phosphatase binding	0.0279286268425136	2.41737063104709	36
MF integrin binding	0.0201706749418154	2.41737063104709	26
BP anatomical structure homeostasis	0.0272435897435897	2.38842413608272	34
BP regulation of anatomical structure size	0.0456730769230769	2.37399744979459	57
CC glutamatergic synapse	0.0470316114109483	2.34218601628849	61
BP positive regulation of cell activation	0.0440705128205128	2.32959389183133	55
BP cell-substrate adhesion	0.0352564102564103	2.30309245364946	44
CC ruffle membrane	0.015420200462606	2.28492776453417	20
BP canonical inflammasome complex assembly	0.00881410256410256	2.27587280768623	11
BP positive regulation of superoxide anion generation	0.00641025641025641	2.27365064664764	8
BP positive regulation of leukocyte differentiation	0.0256410256410256	2.27365064664764	32
BP cellular response to lipopolysaccharide	0.0272435897435897	2.24192122356857	34
BP vacuolar transport	0.0248397435897436	2.20802318336521	31
MF phospholipid binding	0.0488750969743988	2.18205597962396	63
BP programmed necrotic cell death	0.0112179487179487	2.18125692050274	14
BP response to type II interferon	0.0184294871794872	2.16799820820373	23
BP response to vitamin D	0.00721153846153846	2.15377583848562	9
BP leukocyte mediated cytotoxicity	0.0216346153846154	2.125501283314	27
