final_term	GeneRatio	-Log(Adj P)	Count
React Neutrophil degranulation	0.147816349384099	22.420212371788	132
React Platelet activation, signaling and aggregation	0.0716685330347144	10.6575473681283	64
React Hemostasis	0.120940649496081	10.5795822837086	108
React Response to elevated platelet cytosolic Ca2+	0.0369540873460246	5.62333349638754	33
React Platelet degranulation	0.0358342665173572	5.62333349638754	32
React Leishmania infection	0.0436730123180291	4.77693334202169	39
React Parasitic Infection Pathways	0.0436730123180291	4.77693334202169	39
React Signaling by Receptor Tyrosine Kinases	0.089585666293393	4.30049407291223	80
React L1CAM interactions	0.0279955207166853	3.71172257430578	25
React Signaling by moderate kinase activity BRAF mutants	0.0179171332586786	3.65166564185626	16
React Signaling by RAS mutants	0.0179171332586786	3.65166564185626	16
React Paradoxical activation of RAF signaling by kinase inactive BRAF	0.0179171332586786	3.65166564185626	16
React Signaling downstream of RAS mutants	0.0179171332586786	3.65166564185626	16
React Signaling by RAF1 mutants	0.0167973124300112	3.65166564185626	15
React Signaling by Interleukins	0.0795072788353863	3.34261891540825	71
React Signaling by high-kinase activity BRAF mutants	0.0145576707726764	3.12513170273214	13
React Signaling by BRAF and RAF1 fusions	0.0212765957446809	3.02983128046371	19
React Semaphorin interactions	0.019036954087346	2.87641972680433	17
React Signaling by GPCR	0.0750279955207167	2.73836560362314	67
React GPVI-mediated activation cascade	0.0145576707726764	2.68233342242099	13
React MAP2K and MAPK activation	0.0145576707726764	2.68233342242099	13
React Gap junction trafficking	0.0123180291153415	2.67844744401247	11
React RHO GTPase cycle	0.0761478163493841	2.52538050908593	68
React Gap junction trafficking and regulation	0.0123180291153415	2.52538050908593	11
React Anti-inflammatory response favouring Leishmania parasite infection	0.0212765957446809	2.52538050908593	19
React Leishmania parasite growth and survival	0.0212765957446809	2.52538050908593	19
React GPCR downstream signalling	0.0683090705487122	2.52538050908593	61
React Recycling pathway of L1	0.0145576707726764	2.33499480954099	13
React Fcgamma receptor (FCGR) dependent phagocytosis	0.0246360582306831	2.33499480954099	22
React Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell	0.0302351623740202	2.33203932409264	27
React Neuronal System	0.0481522956326988	2.32654793912229	43
React Extracellular matrix organization	0.0403135498320269	2.32070923689614	36
React Neurotransmitter receptors and postsynaptic signal transmission	0.0302351623740202	2.32070923689614	27
React ROS and RNS production in phagocytes	0.0123180291153415	2.32070923689614	11
React The role of Nef in HIV-1 replication and disease pathogenesis	0.0123180291153415	2.32070923689614	11
React Platelet Aggregation (Plug Formation)	0.0123180291153415	2.32070923689614	11
React Signal transduction by L1	0.0100783874580067	2.31921965638446	9
React Oncogenic MAPK signaling	0.0223964165733483	2.30251243565727	20
React Cell-extracellular matrix interactions	0.00783874580067189	2.30251243565727	7
React Signaling by NTRKs	0.0291153415453527	2.25867642681476	26
React Autophagy	0.0347144456886898	2.16456431223141	31
React Post NMDA receptor activation events	0.0179171332586786	2.06066057888751	16
React G-protein beta:gamma signalling	0.0111982082866741	2.02282506551451	10
React RHO GTPases activate IQGAPs	0.0111982082866741	2.02282506551451	10
React Integrin signaling	0.0100783874580067	2.01570461718712	9
