symbol	lab	z	pvalue
ABR	S+	5.01756957582241	9.60351953596245e-06
ACAA1	S+	2.44282697015487	0.00360722331923458
ACP1	O+	2.39667258676479	0.00401169043723858
ACTA2	S+	1.98448482920047	0.0103637080636266
ACTB	S+	5.52193814109563	3.00650450477683e-06
ACTG1	S+	3.51610693916787	0.00030471445789234
ACTN4	S+	4.07834172929	8.34945773611653e-05
ACTL6A	O+	2.51882719941663	0.00302811804040916
ACTN1	S+	4.96037164310592	1.09554029738394e-05
ACYP2	N+	2.39384199007632	0.00403792278512732
ADAM8	S+	4.75292220132104	1.76635421364597e-05
ADAR	S+	2.48833797277064	0.00324834409266929
ADCY6	S+	2.1718013484744	0.00673284554323354
ADD1	S+	3.19285577460532	0.000641422552032689
ADD3	O+	2.50498712574886	0.00312617203817794
GRK2	S+	4.00338142533915	9.92244212956848e-05
AP2A1	S+	2.81206658397945	0.00154146410483359
AP1B1	S+	2.78744116227775	0.00163139391364796
AGER	S+	3.41933983586158	0.000380767755644477
AKT1	S+	7.67752127704743	2.10125482140279e-08
AKT2	S+	3.43376794935813	0.000368325723530267
ALAS1	S+	2.52402487552099	0.00299209325057129
ALDH2	S+	3.21856655403018	0.000604551698923851
ALDH3B1	S+	5.47185733712545	3.37398123516433e-06
ALDOA	S+	4.630994822684	2.33886512059691e-05
ALOX12	S+	3.73176530094703	0.000185453356956451
ALOX5	S+	6.00868671531707	9.80196809758566e-07
ALOX5AP	S+	2.43384772265202	0.00368258073907683
ALPL	S+	2.96590396466136	0.00108167311473129
AMPD2	S+	4.64700013692692	2.25423850142275e-05
ANK3	O+	2.36952557377318	0.00427045771773167
ANPEP	S+	6.05933707712861	8.7229407560693e-07
ANXA11	S+	5.97723543276243	1.05381546397156e-06
BIRC3	O+	3.88244610101422	0.000131085271827112
APLP2	S+	3.200878016425	0.000629683021852606
FASLG	O+	4.048391567065	8.94557853732465e-05
ARF1	S+	6.80208691141307	1.57729558826242e-07
ARF3	S+	4.62547602926104	2.3687758719696e-05
ARF5	S+	4.70835891293986	1.95722649897718e-05
RHOA	S+	3.60446399718259	0.000248619966052019
