symbol	lab	pvalue
NR2F6	N+	0.000180367046136845
IGLV4-69	N+	0.00164656116332434
C4BPA	O+	0.00601061873564181
PFDN4	O+	0.000155689688683726
TAF9	O+	6.77888245901202e-05
OTOF	O+	0.00366626937280605
LPAR6	O+	0.000151815016829364
TRIM22	O+	0.00472418840618735
IFI44	O+	0.0024847371052078
KRR1	O+	0.000128369740668166
GIMAP2	O+	1.17449726985948e-07
PHF11	O+	0.00336827402446448
CHMP5	O+	0.00307226022819124
RETREG1	O+	4.98047763542471e-05
HPF1	O+	6.28648981098666e-07
ZNF83	O+	2.56159981388082e-05
FAM111A	O+	4.4939202494007e-05
ZSCAN29	O+	0.0016845812064913
TTC14	O+	6.80103899492519e-05
ABR	S+	9.60351953596245e-06
ACAA1	S+	0.00360722331923458
ACTB	S+	3.00650450477683e-06
ACTN4	S+	8.34945773611653e-05
ACTN1	S+	1.09554029738394e-05
ADAM8	S+	1.76635421364597e-05
ADAR	S+	0.00324834409266929
AGER	S+	0.000380767755644477
AKT1	S+	2.10125482140279e-08
ALDH3B1	S+	3.37398123516433e-06
ALDOA	S+	2.33886512059691e-05
ALOX12	S+	0.000185453356956451
ALOX5	S+	9.80196809758566e-07
ALOX5AP	S+	0.00368258073907683
AMPD2	S+	2.25423850142275e-05
ANPEP	S+	8.7229407560693e-07
ANXA11	S+	1.05381546397156e-06
APLP2	S+	0.000629683021852606
ARF1	S+	1.57729558826242e-07
ARF3	S+	2.3687758719696e-05
RHOG	S+	1.99432473691886e-06
ARHGAP1	S+	1.16496481946683e-05
ARRB2	S+	2.76802416235658e-06
ARSA	S+	0.000507450170209514
ASGR1	S+	0.00116830869096178
ASGR2	S+	0.00019397975694975
RERE	S+	0.000889770390366601
ATP6V0B	S+	7.91398434595146e-06
ATP6V0A1	S+	1.66150099232069e-07
BCL3	S+	2.37754079518291e-06
C5AR1	S+	0.000218814408404181
FMNL1	S+	1.46447146216518e-06
CAMK2G	S+	0.000457678282622333
CAPG	S+	0.00253511300064273
CARS1	S+	0.00388457689268725
CD14	S+	6.9244986764312e-06
TNFRSF8	S+	0.00022746775666863
CD68	S+	7.52715964680447e-05
ADGRE5	S+	0.000374020117410985
CDA	S+	2.3402332251094e-05
CDKN2D	S+	1.80664907953852e-05
CFL1	S+	2.0652376956055e-05
CEACAM3	S+	3.30738407473494e-05
CEACAM4	S+	0.000125745333174596
CLU	S+	0.000103628597606677
CLK3	S+	1.17073818284994e-05
TPP1	S+	0.00137853222522424
CNN2	S+	2.50636447150455e-05
COL7A1	S+	0.00432873046042372
ATF6B	S+	3.47843225209977e-05
CSF1R	S+	0.00200660489608504
CSF3R	S+	9.02566763748673e-07
CSNK1D	S+	1.00503199122472e-05
CST3	S+	0.000264434967807082
CTSD	S+	6.63911062211734e-06
CTSZ	S+	0.00245632024002337
CUX1	S+	0.000642103265581114
DCTN1	S+	0.00189967736250146
DHX8	S+	0.000226004055261503
DOCK2	S+	0.00621420097552943
DOK1	S+	3.56374656507882e-05
ECE1	S+	7.28199112848149e-06
PHC2	S+	1.61765633809296e-05
MARK2	S+	7.50568113986692e-05
EPHB4	S+	0.00158670263073634
ETV6	S+	0.00542076104985623
PTK2B	S+	7.55778799551661e-05
FBP1	S+	0.00534814028107903
FCGRT	S+	1.51804503455874e-06
FCN1	S+	1.21951688298027e-05
FES	S+	0.00012892505643451
FGR	S+	3.52307616230784e-05
FKBP1A	S+	0.000578993984800682
FLOT2	S+	9.96383979103617e-07
FOLR3	S+	0.00376260735901546
FOS	S+	0.000400782284588418
FOSL2	S+	0.000224081886586397
FPR1	S+	5.80865859776117e-05
GAA	S+	0.000804142825810947
GALNS	S+	0.0005796020915239
GALNT2	S+	0.000203333660706957
GBA1	S+	7.19752058184265e-06
GLUL	S+	0.000386250293754951
GNAI2	S+	2.35061306893124e-08
GNB2	S+	3.31185552094833e-07
GNG5	S+	0.000225487730343032
GP1BA	S+	6.33308025893371e-05
FFAR2	S+	0.00121693209545803
GRN	S+	2.81175873042652e-07
GRINA	S+	0.0015169101280096
GSK3A	S+	0.000272193081294672
GSN	S+	8.05922542342248e-05
GSTZ1	S+	0.00421250506325237
H3-3A	S+	0.00189080546555203
HCK	S+	1.7215874181691e-06
HCLS1	S+	3.18165160033478e-05
HK3	S+	0.00107199087025721
HLA-B	S+	0.000247789184783718
HLA-C	S+	0.000629636900343605
