	Neu	OxA	SNs	x	y	r	angle	z	pvalue	col	lab
A1BG	0.196047595233034	-0.0959709939930162	-0.0518756083549326	0.269970896407009	-0.0381877241522519	0.272658370828281	351.948853123312	0.439909696742136	0.363153557779089	grey60	ns
NAT1	-0.322768488777202	0.24486185798416	0.047189657100027	-0.468794246319295	0.17118914758764	0.499072910138247	159.939371376931	0.749579020249929	0.178000400614635	grey60	ns
AAMP	-0.0325284544987775	-0.398357645762441	0.190891022294879	0.0712048572350038	-0.510304315683783	0.515248121102204	277.943428184969	0.845790688442562	0.142629484171806	grey60	ns
AARS1	0.237383376409264	-0.0123515545914134	-0.108509336656208	0.297813822033074	0.0832750820396797	0.309237468432696	15.6221229354761	0.592042191863705	0.255833733144864	grey60	ns
ABAT	-0.384553299023487	0.162862672412412	0.112926007669814	-0.5224476390646	0.0432464202473572	0.524234478481133	175.268040315234	0.649761892283396	0.223994888369307	grey60	ns
ABCA1	-0.256454596175308	0.233207571247603	0.0204868748152017	-0.38330181920671	0.184221527021178	0.425273859560152	154.330250368784	0.146563428909572	0.713569980286579	grey60	ns
ABCA2	-0.0301666214570358	-0.133707605256419	0.0733113246122195	3.15188650639418e-05	-0.17928365233051	0.179283655101088	270.010072853275	0.303729683750663	0.496901509718552	grey60	ns
ABCA3	0.125972798276472	-0.273735863186091	0.0599768366291735	0.232852311554931	-0.289003675605509	0.371137876684621	308.858639518451	0.397266530780647	0.400620777268986	grey60	ns
ABCF1	0.015314341958877	-0.030347893526184	0.00600218901126193	0.0274871942163381	-0.0314800949070893	0.0417916525306913	311.126197067841	0.00692023550459829	0.984191850303995	grey60	ns
ABL1	-0.0531564464407204	-0.0314020215242124	0.0393319837621965	-0.0571214275597124	-0.0612574454894529	0.0837575794442077	227.001032857318	0.100529078563654	0.793361134815951	grey60	ns
AOC1	0.222963032023566	-0.496070013676742	0.111248550646456	0.415373763538709	-0.525953304893783	0.670195674683897	308.300058517651	1.09455115099114	0.0804357006199087	grey60	ns
ABL2	-0.172428866422146	0.573323810344198	-0.169496620668807	-0.374342461259841	0.643301363707369	0.744290885910768	120.195484249695	1.42727714803887	0.0373871923163746	grey60	ns
ABO	0.252057690304494	0.0791659096846634	-0.155820691607408	0.290385081265866	0.203504366267899	0.354594870961049	35.0231024532786	0.296495099307851	0.505248346262039	grey60	ns
ABR	-0.470485189576934	-0.544598375489256	0.465456176212195	-0.430914089938403	-0.874732900981559	0.975112609377531	243.774053684695	5.01756957582241	9.60351953596245e-06	green3	S+
ACAA1	-0.153926792208582	-0.493223566296785	0.290903229430689	-0.0527666237755339	-0.679073724888083	0.681120723820708	265.556827054386	2.44282697015487	0.00360722331923458	green3	S+
ACACA	-0.0959944067316576	0.124877553714094	-0.00886880840300349	-0.153998779387203	0.115827747257159	0.19269585124599	143.051923224611	0.0184170934445526	0.958479672035793	grey60	ns
ACACB	-0.0546292031727593	0.0586132457907426	0.000432189374997136	-0.0841519207556292	0.0503862728750512	0.0980832414895675	149.088778543523	0.0192927701281228	0.956549017291895	grey60	ns
ACADM	-0.00695807468385606	0.527898849841497	-0.228935618082014	-0.156439690563597	0.65543787568144	0.673848785456672	103.424182189106	1.56462907635396	0.0272502771501292	grey60	ns
